platform,product_id,product_name,category,brand_name,review_count,avg_rating,n_negative,n_neutral,n_positive
oliveyoung,A000000120938,[10매/5종] 아비브 약산성 pH 시트 마스크 핏 10매 (어성초/부활초/아쿠아/글루타치온좀/허니),마스크팩,아비브,352,4.113636363636363,41,76,235
oliveyoung,A000000123594,[산뜻보송선스틱/UV에이징케어] 셀퓨전씨 스틱 썬스크린 19g (SPF50+/PA++++),선크림,셀퓨전씨,75,4.906666666666666,0,0,75
oliveyoung,A000000125392,[더블기획/순삭리무버패드] 아리얼 스트레스 릴리빙 립앤아이 리무버 패드 더블기획 (30매+30매),클렌징,아리얼,325,4.283076923076923,24,70,231
oliveyoung,A000000130319,바이오더마 센시비오 H2O 850ml(클렌징워터),클렌징,바이오더마,379,3.7097625329815305,115,6,258
oliveyoung,A000000130487,[영양/탄력] 닥터지 로얄 블랙스네일 크림마스크 1매,마스크팩,닥터지,313,3.900958466453674,85,16,212
oliveyoung,A000000132048,[1+1/화잘먹팩] 듀이트리 픽앤퀵 뽑아쓰는 화장발 마스크 더블 기획 (30매+30매),마스크팩,듀이트리,304,4.384868421052632,9,52,243
oliveyoung,A000000134691,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),스킨케어,바이오더마,344,3.7761627906976742,99,4,241
oliveyoung,A000000135743,폰즈 클리어 스파 립앤아이 리무버 300ml,클렌징,폰즈,379,3.8970976253298155,99,5,275
oliveyoung,A000000137180,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),토너,라운드랩,346,4.03757225433526,60,52,234
oliveyoung,A000000139298,메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 기획 (200ml+폼50ml),클렌징,메이크프렘,347,3.913544668587896,93,13,241
oliveyoung,A000000139348,[대용량] 라로슈포제 똘러리앙 울트라 로션 400ML,스킨케어,라로슈포제,200,4.51,4,14,182
oliveyoung,A000000139762,"[깐달걀세안제] 수이사이 파우더 워시 6종 택1 (오리지널, 블랙, 골드, 그린, 핑크, 탄산 32p/15p/16p)",클렌징,수이사이,293,4.081911262798635,30,70,193
oliveyoung,A000000140820,[긴급진정]차앤박(CNP) 퀵수딩 S.O.S 마스크 트리플 기획 (본품1매x3+1매 증정),마스크팩,차앤박,298,4.204697986577181,42,38,218
oliveyoung,A000000141333,[노화케어] 디오디너리 매트릭실 10% + HA,스킨케어,디오디너리,269,4.148698884758364,27,46,196
oliveyoung,A000000141457,[더블클렌징] 아리얼 스트레스 릴리빙 미셀라 립앤아이 리무버 300ml,클렌징,아리얼,337,3.679525222551929,105,5,227
oliveyoung,A000000142520,비플레인 녹두 약산성 클렌징폼 80ml,클렌징폼,비플레인,313,3.8977635782747604,75,27,211
oliveyoung,A000000143949,얼트루 아임쏘리포마이스킨 릴렉싱 젤리마스크 10매,마스크팩,얼트루,221,4.6877828054298645,3,6,212
oliveyoung,A000000145580,[수분민감/아침세안] 라곰 셀럽 젤 투 워터 클렌저 170ml,클렌징,라곰,337,4.0207715133531154,67,34,236
oliveyoung,A000000145581,[수분민감/미세먼지OUT] 라곰 셀럽 마이크로 폼 클렌저 120ml,클렌징,라곰,75,4.746666666666667,2,2,71
oliveyoung,A000000145728,[증정/약산성] 닥터지 약산성 레드 블레미쉬 클리어 수딩 폼 기획2종 택 1(150ml+75ml/150ml+150ml),클렌징,닥터지,327,3.8776758409785934,96,11,220
oliveyoung,A000000145898,얼트루 아임쏘리포마이스킨 리바이탈라이징 젤리마스크 (본품4매+1매 추가 증정),마스크팩,얼트루,320,4.515625,9,30,281
oliveyoung,A000000146512,[1등 클렌징 티슈] 아리얼 더 퍼펙트 클렌징 티슈 플러스 100매,클렌징,아리얼,368,3.858695652173913,99,4,265
oliveyoung,A000000146589,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 200ml,토너,아비브,312,4.032051282051282,52,49,211
oliveyoung,A000000146757,폰즈 클리어 스파 립앤아이 리무버 300ml+120ml 기획,클렌징,폰즈,53,4.962264150943396,0,1,52
oliveyoung,A000000147080,[72관왕/1위] 린제이 프리미엄 쿨티트리 모델링 팩 1Kg,마스크팩,린제이,342,4.228070175438597,32,67,243
oliveyoung,A000000147573,[조슈아PICK] 리얼베리어 마스크 10매 3종 택1(장벽/수분/쿨링),마스크팩,리얼베리어,320,3.75625,99,8,213
oliveyoung,A000000147647,[여드름기능성/뽀득폼] 아크네스 퍼펙트 솔루션 폼클렌저 125ml+75ml 증량기획,클렌징,아크네스,315,4.117460317460317,31,73,211
oliveyoung,A000000147835,비페스타 클렌징티슈 브라이트닝 트리플기획 (46매X3),클렌징,비페스타,253,4.723320158102767,3,2,248
oliveyoung,A000000148023,[추가증정/저자극] 닥터지 약산성 클렌징 젤 폼 200ml+100ml 증정 기획,클렌징,닥터지,338,3.8461538461538463,100,4,234
oliveyoung,A000000148112,아벤느 클리낭스 클렌징 젤 400ml *피지잡는 *약산성클렌저 *클렌징폼,클렌징폼,아벤느,66,4.833333333333333,0,2,64
oliveyoung,A000000148981,스킨푸드 수비드 마스크시트 1매 10종 중 택1,마스크팩,스킨푸드,294,4.074829931972789,61,24,209
oliveyoung,A000000149066,[1등 클렌징 티슈] 아리얼 더 퍼펙트 클렌징 티슈 플러스 더블기획 (100매x2개입),클렌징,아리얼,317,4.16403785488959,36,64,217
oliveyoung,A000000149135,[1등썬] 라운드랩 자작나무 수분 선크림 50ml 기획(50ml+크림 20ml/50ml+클렌저 20ml),선크림,라운드랩,334,3.622754491017964,102,9,223
oliveyoung,A000000149140,[대용량/약산성] 라운드랩 1025 독도 클렌징 워터 1+1 기획 (400ml+400ml),클렌징,라운드랩,321,4.043613707165109,65,31,225
oliveyoung,A000000149179,메디힐 티트리 임팩트인 밸런싱 마스크 1매,쿠션팩트,메디힐,340,3.8529411764705883,100,4,236
